Geography,Characteristics,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada ,Number of new cancer cases,"117,970","121,895","122,595","122,045","123,145","126,960","131,060","135,495","138,925","142,865","145,135","147,285","152,400","156,650","161,465","167,165","168,465","173,305","187,710","195,625","197,615","193,510","198,250","201,990","207,305","211,510",..,..,..,..,..
Canada ,Cancer incidence rate,415.8,424.9,422.7,416.5,415.9,424.5,434.6,445.7,452.7,460.5,462.8,465.5,477.2,485.8,495.7,508.3,506.7,515.3,552,569.7,569.3,551.6,559.5,565.7,574.1,578.8,..,..,..,..,..
Canada (excluding Quebec),Number of new cancer cases,"86,230","88,945","89,085","88,760","90,430","94,130","96,385","100,200","102,040","105,180","106,960","107,660","111,715","115,220","118,910","123,630","123,935","127,350","136,890","140,730","141,085","143,115","145,370","148,290","151,915","155,710","158,990","161,605",..,..,..
Canada (excluding Quebec),Cancer incidence rate,405.6,413.2,408.5,401.9,404.4,415.9,421.6,434.2,437.4,445.2,447.2,445.7,457.8,467.2,476.8,490.7,486.3,493.9,525,534.4,529.3,530.6,532.8,538.7,544.8,551.1,554.2,554.7,..,..,..
Newfoundland and Labrador,Number of new cancer cases,"1,705","1,855","1,770","1,980","1,940","1,955","1,965","1,995","2,065","2,180","2,135","2,140","2,210","2,340","2,815","2,935","3,055","3,125","3,170","3,315","3,260","3,415","3,565","3,505","3,670","3,595","3,670","3,680","3,380","3,710","3,675"
Newfoundland and Labrador,Cancer incidence rate 10,293.9,319.8,308.1,349,346.6,354.9,364,374.1,391.1,417.6,411,412.8,427.2,455,551.3,576.6,597.2,604.8,607.3,631.5,619.5,648.1,675.2,663.4,693,678.6,694.5,697.4,641.5,703.9,691.7
Prince Edward Island,Number of new cancer cases,605,595,645,610,590,635,685,660,650,705,715,790,760,760,775,855,825,840,815,880,900,890,900,920,900,955,915,"1,015","1,000","1,080","1,105"
Prince Edward Island,Cancer incidence rate 10,462.4,450.2,483.4,453.8,434.7,466.6,504.4,484.3,476.3,515.9,522.3,575.7,552,550.5,562.1,620.9,594.7,600.5,575.4,611.5,623.2,618.3,624.6,636.1,612.7,637.8,600.9,651.5,628.2,666.1,660.8
Nova Scotia ,Number of new cancer cases,"4,110","4,420","4,365","4,275","4,255","4,390","4,825","4,950","4,940","5,060","5,055","5,030","5,280","5,410","5,835","5,775","5,580","5,560","5,890","5,785","6,095","6,150","6,110","6,320","6,420","6,615","6,480","6,360",..,..,..
Nova Scotia ,Cancer incidence rate 10,447,478.4,470.9,460.6,456.9,470.8,517.8,530.1,529,542.6,540.5,536.4,561.9,576.8,622.1,617.5,596.2,592.6,625.2,612.8,646.2,654.4,651.5,674.2,680.8,694.7,673.5,651.8,..,..,..
New Brunswick,Number of new cancer cases,"3,170","3,340","3,425","3,195","3,295","3,475","3,600","3,655","3,505","3,725","3,690","3,785","3,870","4,205","4,355","4,460","4,540","4,540","4,510","4,575","4,575","4,790","4,705","4,810","4,915","5,045","5,090","5,175","5,025","5,425","5,335"
New Brunswick,Cancer incidence rate 10,423.7,446,456.6,425.5,438,461.8,479.7,486.9,467,496.8,492.4,505,516.4,562.1,584.1,598.3,607.9,605.4,598.9,605.5,603.5,631.7,620.2,633.5,643.9,658,660.6,665.7,641.4,686,659.2
Quebec,Number of new cancer cases,"31,745","32,950","33,505","33,290","32,715","32,830","34,675","35,295","36,885","37,685","38,170","39,625","40,685","41,430","42,555","43,530","44,530","45,955","50,815","54,895","56,530","50,395","52,880","53,700","55,385","55,800",..,..,..,..,..
Quebec,Cancer incidence rate 10,446.5,460.4,465.8,461.1,451.4,451.3,475.3,482,501.4,509.5,512.9,529.4,539.9,546.5,557.6,565.9,573.7,585.9,640.8,685.8,701.4,621.5,649,656.8,673.4,672.9,..,..,..,..,..
Ontario,Number of new cancer cases,"42,685","43,415","44,055","43,845","44,370","46,740","47,665","49,180","50,610","51,995","53,135","53,655","56,435","58,770","60,265","62,520","62,195","64,075","73,005","74,645","74,080","74,655","75,460","76,960","79,125","82,080","82,620","82,760","76,150","86,155","86,830"
Ontario,Cancer incidence rate 10,403.7,406.1,407.2,400.4,400.3,416.3,419.4,427.5,433.2,437,439.4,438.2,455.5,469.1,476,489.8,482.7,492.9,555.7,562.8,553.2,552.5,554.1,561.4,570.2,583,576.7,567.9,515.9,580.5,573.5
Manitoba ,Number of new cancer cases,"5,375","5,450","5,390","5,305","5,150","5,295","5,365","5,455","5,645","5,600","5,675","5,485","5,810","5,680","5,735","5,965","6,055","6,240","6,210","6,360","6,225","6,340","6,440","6,465","6,540","6,750","7,010","7,205","7,060","7,340","7,235"
Manitoba,Cancer incidence rate 10,483.1,487.6,479.9,469.8,454.1,466.1,471.7,477.5,492,486.3,490.6,471.4,495.2,482.1,484.6,501.5,505.5,516.3,508.7,515.7,498.4,501.8,504.1,499.8,497.7,505.7,518.2,525.9,511.5,527.3,512.2
